,Band4,Band5,Band6
398,20,96,54
399,14,11,8
400,137,130,62
401,183,185,57
402,20,116,47
403,17,77,40
404,17,91,44
405,22,88,48
406,21,113,55
407,21,100,59
408,22,101,59
409,22,101,59
410,140,151,57
411,137,130,62
412,137,130,62
413,21,19,11
414,172,173,47
415,21,100,59
416,42,59,79
417,229,227,62
418,21,100,59
419,140,151,57
420,18,84,47
421,17,77,40
422,22,88,48
423,22,88,48
424,16,124,48
425,23,94,51
426,26,84,65
427,183,185,57
428,16,124,48
429,16,75,38
430,21,113,55
431,16,124,48
432,23,94,51
433,17,77,40
434,179,188,110
435,140,151,57
436,24,101,53
437,48,80,110
438,24,113,58
439,35,66,76
440,24,113,58
441,21,113,55
442,174,174,54
443,22,101,59
444,17,77,40
445,22,101,59
446,137,130,62
447,22,88,48
448,24,113,58
449,24,113,58
450,140,151,57
451,140,151,57
452,16,75,38
453,179,188,110
454,172,173,47
455,14,84,35
456,18,60,40
457,137,130,62
458,22,88,48
459,229,227,62
460,21,100,59
461,137,130,62
462,140,151,57
463,21,113,55
464,16,124,48
465,17,77,40
466,17,77,40
467,21,19,11
468,229,227,62
469,14,79,28
470,14,79,28
471,40,80,89
472,24,113,58
473,21,61,56
474,14,11,8
475,19,58,50
476,21,100,59
477,13,108,42
478,172,173,47
479,16,124,48
480,16,124,48
481,18,60,40
482,21,61,56
483,16,124,48
484,17,77,40
485,38,98,51
486,16,124,48
487,33,32,28
488,17,91,44
489,21,113,55
490,21,100,59
491,172,173,47
492,23,94,51
493,22,101,59
494,140,151,57
495,24,101,53
496,25,97,44
497,17,91,44
498,21,100,59
499,18,84,47
500,21,100,59
501,22,88,48
502,13,108,42
503,137,130,62
504,17,91,44
505,14,84,35
506,33,57,57
507,22,101,59
508,22,101,59
509,140,151,57
510,172,173,47
511,174,174,54
512,21,100,59
513,23,94,51
514,25,97,44
515,40,80,89
516,140,151,57
517,26,84,65
518,140,151,57
519,21,113,55
520,25,97,44
521,179,188,110
522,174,174,54
523,16,124,48
524,17,77,40
525,25,97,44
526,21,61,56
527,172,173,47
528,22,101,59
529,105,130,48
530,40,80,89
531,172,173,47
532,172,173,47
533,17,91,44
534,35,67,82
535,16,124,48
536,23,94,51
537,36,80,84
538,21,113,55
539,16,124,48
540,172,173,47
541,14,11,8
542,105,130,48
543,174,174,54
544,34,79,51
545,14,84,35
546,16,124,48
547,22,88,48
548,26,84,65
549,183,185,57
550,172,173,47
551,21,113,55
552,14,79,28
553,179,188,110
554,48,80,110
555,24,101,53
556,25,97,44
557,21,100,59
558,174,174,54
559,21,61,56
560,16,75,38
561,24,113,58
562,21,61,56
563,38,98,51
564,18,60,40
565,24,55,52
566,23,94,51
567,33,32,28
568,24,101,53
569,140,151,57
570,172,173,47
571,229,227,62
572,172,173,47
573,16,124,48
574,25,97,44
575,137,130,62
576,140,151,57
577,21,113,55
578,18,84,47
579,21,113,55
580,21,100,59
581,22,88,48
582,21,61,56
583,14,79,28
584,229,227,62
585,38,98,51
586,42,59,79
587,21,113,55
588,40,80,89
589,21,100,59
590,22,101,59
591,16,75,38
592,140,151,57
593,92,100,35
594,23,94,51
595,21,100,59
596,13,108,42
597,172,173,47
598,172,173,47
599,25,97,44
600,24,113,58
601,21,113,55
602,16,124,48
603,21,61,56
604,17,77,40
605,172,173,47
606,21,113,55
607,21,113,55
608,16,124,48
609,24,101,53
610,38,98,51
611,38,98,51
612,23,94,51
613,21,16,13
614,25,97,44
615,16,124,48
616,18,107,46
617,17,77,40
618,21,100,59
619,140,151,57
620,172,173,47
621,16,124,48
622,42,59,79
623,174,174,54
624,13,108,42
625,172,173,47
626,17,77,40
627,24,113,58
628,26,84,65
629,21,100,59
630,19,58,50
631,171,181,67
632,24,113,58
633,26,80,79
634,13,108,42
635,229,227,62
636,140,151,57
637,174,174,54
638,21,61,56
639,18,84,47
640,17,14,11
641,16,124,48
642,24,113,58
643,16,124,48
644,18,84,47
645,17,77,40
646,24,93,63
647,183,185,57
648,183,185,57
649,25,112,58
650,29,88,60
651,25,118,55
652,17,16,9
653,41,55,70
654,21,100,59
655,32,81,50
656,192,188,59
657,23,118,61
658,23,101,46
659,25,108,55
660,23,106,65
661,23,118,61
662,192,188,59
663,24,93,63
664,25,118,55
665,25,108,55
666,33,36,19
667,24,107,55
668,158,159,56
669,26,24,15
670,24,107,55
671,24,107,55
672,28,53,68
673,20,96,51
674,42,99,76
675,42,99,76
676,29,88,60
677,158,159,56
678,192,188,59
679,24,93,63
680,23,101,46
681,25,112,58
682,29,88,60
683,23,106,65
684,27,24,22
685,39,71,88
686,158,159,56
687,25,108,55
688,22,100,54
689,192,188,59
690,23,101,46
691,22,17,16
692,23,58,50
693,26,24,15
694,23,106,65
695,26,100,70
696,25,112,58
697,25,118,55
698,22,100,54
699,22,17,16
700,25,108,55
701,23,118,61
702,24,93,63
703,13,88,39
704,42,99,76
705,20,96,51
706,23,101,46
707,23,109,54
708,47,74,101
709,25,101,70
710,25,118,55
711,23,118,61
712,17,14,11
713,32,64,51
714,158,159,56
715,21,78,28
716,28,53,68
717,42,99,76
718,32,81,50
719,24,93,63
720,23,106,65
721,24,93,63
722,24,107,55
723,215,218,68
724,22,100,54
725,15,77,42
726,25,112,58
727,192,188,59
728,17,16,9
729,15,77,42
730,25,108,55
731,25,112,58
732,25,118,55
733,158,159,56
734,192,188,59
735,23,109,54
736,29,88,60
737,22,100,54
738,25,112,58
739,192,188,59
740,43,69,80
741,25,118,55
742,25,118,55
743,24,93,63
744,24,93,63
745,25,108,55
746,18,73,40
747,29,88,60
748,25,118,55
749,30,46,60
750,29,88,60
751,23,118,61
752,23,101,46
753,25,108,55
754,23,106,65
755,208,209,16
756,25,108,55
757,47,61,75
758,25,108,55
759,17,16,9
760,20,96,51
761,22,100,54
762,23,109,54
763,18,73,40
764,24,93,63
765,25,108,55
766,23,109,54
767,17,14,11
768,23,101,46
769,33,36,19
770,23,118,61
771,192,188,59
772,26,24,15
773,20,96,51
774,23,101,46
775,24,107,55
776,23,101,46
777,25,108,55
778,13,88,39
779,40,37,26
780,20,96,51
781,17,14,11
782,18,93,45
783,25,108,55
784,22,100,54
785,13,88,39
786,25,108,55
787,24,107,55
788,29,88,60
789,26,24,15
790,19,87,50
791,23,58,50
792,158,159,56
793,33,36,19
794,22,100,54
795,25,112,58
796,29,88,60
797,24,107,55
798,158,159,56
799,22,17,16
800,18,73,40
801,29,88,60
802,25,118,55
803,25,108,55
804,23,106,65
805,26,100,70
806,24,107,55
807,24,107,55
808,20,96,51
809,25,101,70
810,215,218,68
811,215,218,68
812,24,107,55
813,23,106,65
814,192,188,59
815,23,101,46
816,192,188,59
817,15,77,42
818,15,77,42
819,23,109,54
820,17,16,9
821,22,100,54
822,215,218,68
823,25,112,58
824,23,118,61
825,23,101,46
826,24,93,63
827,13,88,39
828,29,88,60
829,15,77,42
830,22,100,54
831,23,118,61
832,23,101,46
833,18,15,15
834,25,112,58
835,41,38,23
836,19,87,50
837,192,188,59
838,23,101,46
839,23,106,65
840,18,15,15
841,18,73,40
842,158,159,56
843,23,106,65
844,23,109,54
845,27,96,72
846,158,159,56
847,23,118,61
848,24,107,55
849,22,17,16
850,22,100,54
851,23,101,46
852,18,15,15
853,32,49,70
854,26,100,70
855,15,77,42
856,21,95,51
857,18,15,15
858,20,99,45
859,23,109,54
860,25,112,58
861,25,108,55
862,22,100,54
863,33,36,19
864,25,112,58
865,29,88,60
866,158,159,56
867,24,93,63
868,24,107,55
869,22,17,16
870,13,88,39
871,17,14,11
872,29,88,60
873,29,88,60
874,29,88,60
875,23,106,65
876,20,96,51
877,255,247,80
878,23,118,61
879,24,93,63
880,23,101,46
881,24,107,55
882,36,65,55
883,23,101,46
884,23,106,65
885,22,100,54
886,23,109,54
887,24,93,63
888,158,159,56
889,17,14,11
890,15,77,42
891,25,118,55
892,22,17,16
893,25,112,58
894,20,96,51
895,23,109,54
896,158,159,56
897,23,118,61
898,24,107,55
899,20,99,45
900,14,110,44
901,43,69,80
902,25,101,70
903,25,112,58
904,25,118,55
905,25,108,55
906,36,65,55
907,192,188,59
908,192,188,59
909,23,106,65
