,Band4,Band5,Band6
1660,39,125,80
1661,18,92,46
1662,22,63,54
1663,16,84,38
1664,24,91,40
1665,17,102,54
1666,18,103,48
1667,39,125,80
1668,25,97,69
1669,25,111,48
1670,22,63,54
1671,29,91,84
1672,46,107,107
1673,18,92,46
1674,32,81,78
1675,28,110,67
1676,21,105,57
1677,17,120,52
1678,46,141,97
1679,19,96,53
1680,16,84,38
1681,26,106,55
1682,25,111,48
1683,25,111,48
1684,22,63,54
1685,19,96,53
1686,142,142,105
1687,24,91,40
1688,25,111,48
1689,26,106,55
1690,26,106,55
1691,46,107,107
1692,18,92,46
1693,17,102,54
1694,18,103,48
1695,16,84,38
1696,26,106,55
1697,28,110,67
1698,18,92,46
1699,24,91,40
1700,26,106,55
1701,29,91,84
1702,26,122,54
1703,46,141,97
1704,22,63,54
1705,18,103,48
1706,26,106,55
1707,46,107,107
1708,39,125,80
1709,18,116,57
1710,19,96,53
1711,19,118,48
1712,29,91,84
1713,18,116,57
1714,46,141,97
1715,21,120,54
1716,39,114,99
1717,39,125,80
1718,18,116,57
1719,18,116,57
1720,46,141,97
1721,22,63,54
1722,24,91,40
1723,154,160,105
1724,25,87,69
1725,18,76,50
1726,26,79,62
1727,26,79,62
1728,18,116,57
1729,18,92,46
1730,18,103,48
1731,23,81,45
1732,46,107,107
1733,39,114,99
1734,26,106,55
1735,25,55,55
1736,39,114,99
1737,18,76,50
1738,39,125,80
1739,17,120,52
1740,17,120,52
1741,17,120,52
1742,26,106,55
1743,18,116,57
1744,25,55,55
1745,16,84,38
1746,25,97,69
1747,21,105,57
1748,26,122,54
1749,17,120,52
1750,17,120,52
1751,19,96,53
1752,25,87,69
1753,36,99,80
1754,18,92,46
1755,142,142,105
1756,39,114,99
1757,39,125,80
1758,25,111,48
1759,21,120,54
1760,24,91,40
1761,23,81,45
1762,19,96,53
1763,19,118,48
1764,23,81,45
1765,25,97,69
1766,17,102,54
1767,42,67,93
1768,28,110,67
1769,25,111,48
1770,19,96,53
1771,28,110,67
1772,46,141,97
1773,22,63,54
1774,16,84,38
1775,19,118,48
1776,46,107,107
1777,28,119,65
1778,21,105,57
1779,17,120,52
1780,19,96,53
1781,23,81,45
1782,18,76,50
1783,22,63,54
1784,17,102,54
1785,16,84,38
1786,21,105,57
1787,18,116,57
1788,18,116,57
1789,19,118,48
1790,28,119,65
1791,39,114,99
1792,24,91,40
1793,182,177,88
1794,28,110,67
1795,46,141,97
1796,46,141,97
1797,21,120,54
1798,53,88,111
1799,26,122,54
1800,17,120,52
1801,18,92,46
1802,19,96,53
1803,26,122,54
1804,19,96,53
1805,46,141,97
1806,18,92,46
1807,25,111,48
1808,24,91,40
1809,24,91,40
1810,26,122,54
1811,25,111,48
1812,17,102,54
1813,19,96,53
1814,24,91,40
1815,24,68,39
1816,25,81,57
1817,46,141,97
1818,46,141,97
1819,18,92,46
1820,26,106,55
1821,183,189,86
1822,32,81,78
1823,28,119,65
1824,24,91,40
1825,18,116,57
1826,24,91,40
1827,46,107,107
1828,39,125,80
1829,18,103,48
1830,46,141,97
1831,19,96,53
1832,19,118,48
1833,26,106,55
1834,25,81,57
1835,19,118,48
1836,185,191,110
1837,22,63,54
1838,26,106,55
1839,26,79,62
1840,26,122,54
1841,26,122,54
1842,18,116,57
1843,25,111,48
1844,25,111,48
1845,17,102,54
1846,28,110,67
1847,18,76,50
1848,17,120,52
1849,18,116,57
1850,17,102,54
1851,29,91,84
1852,26,79,62
1853,17,120,52
1854,18,92,46
1855,26,106,55
1856,21,120,54
1857,36,53,68
1858,39,114,99
1859,25,111,48
1860,16,84,38
1861,19,118,48
1862,21,105,57
1863,25,111,48
1864,17,102,54
1865,21,105,57
1866,39,114,99
1867,21,105,57
1868,22,63,54
1869,17,102,54
1870,24,91,40
1871,39,125,80
1872,46,141,97
1873,18,92,46
1874,22,63,54
1875,39,114,99
1876,25,111,48
1877,26,106,55
1878,22,50,37
1879,26,122,54
1880,25,111,48
1881,21,120,54
1882,28,110,67
1883,25,97,69
1884,18,116,57
1885,18,92,46
1886,21,120,54
1887,39,125,80
1888,23,81,45
1889,18,103,48
1890,17,120,52
1891,210,208,60
1892,17,120,52
1893,18,92,46
1894,22,63,54
1895,36,53,68
1896,185,191,110
1897,29,91,84
1898,28,110,67
1899,17,120,52
1900,25,111,48
1901,26,122,54
1902,18,116,57
1903,46,141,97
1904,42,67,93
1905,31,83,80
1906,17,120,52
1907,46,141,97
1908,18,92,46
1909,18,92,46
1910,19,96,53
1911,19,118,48
1912,25,97,69
1913,19,96,53
1914,36,99,80
1915,18,103,48
1916,18,92,46
1917,21,107,55
1918,25,97,69
1919,51,64,77
1920,39,125,80
1921,17,120,52
1922,22,63,54
1923,22,63,54
1924,36,99,80
1925,26,79,62
1926,16,84,38
1927,182,177,88
1928,31,83,80
1929,17,102,54
1930,24,91,40
1931,31,56,62
1932,26,61,61
1933,25,97,69
1934,26,122,54
1935,25,111,48
1936,22,50,37
1937,18,76,50
1938,17,120,52
1939,25,55,55
1940,25,111,48
1941,39,125,80
1942,18,116,57
1943,21,108,54
1944,28,119,65
1945,17,120,52
1946,18,92,46
1947,25,111,48
1948,22,68,61
1949,42,67,93
1950,26,79,62
1951,39,125,80
1952,28,119,65
1953,17,102,54
1954,36,53,68
1955,53,88,111
1956,28,110,67
1957,39,114,99
1958,21,105,57
1959,16,84,38
1960,29,91,84
1961,26,122,54
1962,46,141,97
1963,17,102,54
1964,25,111,48
1965,17,102,54
1966,24,68,39
1967,46,107,107
1968,28,110,67
1969,22,63,54
1970,17,102,54
1971,18,103,48
1972,22,50,37
1973,18,116,57
1974,19,118,48
1975,46,141,97
1976,53,88,111
1977,46,107,107
1978,18,76,50
1979,18,94,47
1980,183,189,86
1981,46,141,97
1982,36,99,80
1983,39,114,99
1984,32,81,78
1985,18,92,46
1986,18,100,48
1987,19,118,48
1988,23,102,61
1989,25,81,57
1990,25,97,69
1991,25,111,48
1992,46,107,107
1993,21,105,57
1994,21,105,57
1995,17,120,52
1996,16,84,38
1997,18,116,57
1998,26,79,62
1999,26,122,54
2000,17,120,52
2001,39,125,80
2002,26,139,68
2003,23,112,63
2004,17,120,52
2005,18,100,48
2006,39,125,80
2007,21,108,54
2008,33,66,74
2009,23,129,57
2010,17,106,49
2011,40,129,80
2012,33,64,38
2013,26,61,61
2014,21,122,54
2015,23,86,52
2016,23,112,63
2017,40,129,80
2018,25,122,59
2019,23,102,61
2020,24,82,71
2021,23,86,62
2022,22,109,55
2023,18,97,49
2024,23,129,57
2025,17,106,49
2026,23,86,52
2027,23,112,63
2028,25,122,59
2029,21,108,54
2030,18,94,47
2031,27,87,70
2032,24,82,71
2033,25,122,59
2034,18,94,47
2035,43,82,99
2036,27,87,70
2037,20,104,42
2038,23,102,61
2039,29,71,59
2040,46,95,101
2041,46,93,95
2042,23,112,63
2043,23,129,57
2044,21,108,54
2045,23,102,61
2046,33,64,38
2047,44,74,98
2048,46,93,95
2049,23,86,62
2050,29,71,59
2051,25,122,59
2052,17,106,49
2053,26,139,68
2054,21,122,54
2055,20,104,42
2056,16,83,29
2057,26,94,68
2058,24,82,71
2059,23,86,62
2060,25,122,59
2061,23,129,57
2062,20,104,42
2063,44,74,98
2064,20,104,42
2065,24,65,32
2066,43,82,99
2067,21,122,54
2068,18,100,48
2069,33,66,74
2070,23,86,52
2071,24,87,66
2072,23,112,63
2073,18,100,48
2074,18,94,47
2075,21,122,54
2076,53,86,102
2077,21,108,54
2078,23,102,61
2079,23,86,62
2080,21,122,54
2081,33,66,74
2082,192,194,77
2083,53,86,102
2084,26,139,68
2085,23,102,61
2086,197,206,107
2087,24,87,66
2088,40,129,80
2089,25,122,59
2090,20,104,42
2091,20,104,42
2092,17,106,49
2093,18,97,49
2094,53,86,102
2095,25,122,59
2096,25,117,71
2097,24,87,66
2098,23,112,63
2099,25,122,59
2100,119,134,43
2101,27,87,70
2102,26,139,68
2103,40,129,80
2104,23,129,57
2105,20,104,42
2106,23,102,61
2107,16,83,29
2108,43,61,74
2109,25,122,59
2110,18,97,49
2111,119,134,43
2112,119,134,43
2113,24,82,71
2114,26,139,68
2115,21,107,55
2116,23,129,57
2117,18,100,48
2118,25,117,71
2119,40,129,80
2120,25,117,71
2121,23,102,61
2122,24,65,32
2123,21,122,54
2124,43,61,74
2125,192,194,77
2126,23,112,63
2127,23,129,57
2128,20,104,42
2129,23,102,61
2130,40,129,80
2131,25,122,59
2132,21,108,54
2133,23,112,63
2134,25,122,59
2135,23,86,52
2136,18,94,47
2137,26,139,68
2138,21,122,54
2139,18,94,47
2140,161,161,68
2141,46,93,95
2142,24,82,71
2143,18,100,48
2144,24,65,32
2145,33,66,74
2146,40,129,80
2147,40,129,80
2148,23,129,57
2149,67,81,89
2150,197,206,107
2151,23,86,52
2152,25,117,71
2153,20,104,42
2154,22,109,55
2155,23,86,52
2156,29,71,59
2157,192,194,77
2158,25,122,59
2159,23,81,53
2160,40,129,80
2161,21,108,54
2162,21,108,54
2163,40,129,80
2164,22,109,55
2165,22,109,55
2166,26,94,68
2167,26,94,68
2168,24,87,66
2169,20,104,42
2170,18,97,49
2171,23,102,61
2172,23,112,63
2173,25,117,71
2174,17,106,49
2175,23,102,61
2176,24,65,32
2177,16,83,29
2178,24,82,71
2179,26,139,68
2180,23,102,61
2181,26,67,48
2182,18,100,48
2183,25,117,71
2184,20,104,42
2185,24,65,32
2186,43,82,99
2187,26,94,68
2188,26,139,68
2189,21,107,55
2190,16,83,29
2191,23,86,52
2192,17,106,49
2193,24,87,66
2194,23,112,63
2195,25,122,59
2196,23,129,57
2197,25,122,59
2198,21,122,54
2199,17,106,49
2200,167,172,97
2201,167,172,97
2202,44,74,98
2203,18,94,47
2204,29,71,59
2205,43,61,74
2206,23,86,52
2207,20,104,42
2208,46,93,95
2209,40,129,80
2210,40,129,80
2211,53,86,102
2212,43,82,99
2213,23,86,52
2214,23,86,52
2215,23,86,62
2216,44,74,98
2217,20,104,42
2218,33,64,38
2219,48,72,81
2220,192,194,77
2221,23,102,61
2222,46,95,101
2223,23,86,52
2224,23,129,57
2225,23,129,57
2226,43,77,98
2227,26,139,68
2228,25,117,71
2229,22,109,55
2230,18,97,49
2231,197,206,107
2232,23,102,61
2233,21,122,54
2234,24,65,32
2235,24,82,71
2236,25,122,59
2237,23,129,57
2238,26,139,68
2239,23,102,61
2240,23,112,63
2241,40,129,80
2242,40,129,80
2243,21,107,55
2244,119,134,43
2245,42,69,97
2246,23,86,62
2247,23,129,57
2248,25,117,71
2249,22,109,55
2250,29,71,59
2251,21,107,55
2252,16,83,29
2253,29,71,59
2254,25,122,59
2255,21,122,54
2256,22,109,55
2257,43,82,99
2258,33,66,74
2259,27,87,70
2260,25,122,59
2261,21,122,54
2262,20,104,42
2263,29,71,59
2264,192,194,77
2265,23,86,62
2266,25,117,71
2267,23,81,53
2268,27,87,70
2269,24,87,66
2270,24,87,66
2271,18,94,47
2272,24,82,71
2273,18,100,48
2274,27,87,70
2275,26,139,68
2276,26,67,48
2277,46,95,101
2278,40,129,80
2279,25,122,59
2280,29,71,59
2281,192,194,77
2282,21,122,54
2283,33,66,74
2284,33,66,74
2285,40,129,80
2286,21,122,54
2287,23,129,57
2288,22,109,55
2289,24,82,71
2290,24,87,66
2291,23,112,63
2292,23,86,62
2293,20,104,42
2294,22,109,55
2295,23,102,61
2296,24,82,71
2297,40,129,80
2298,23,129,57
2299,20,104,42
2300,23,102,61
2301,23,102,61
2302,60,78,99
2303,46,93,95
2304,23,112,63
2305,23,129,57
2306,21,107,55
2307,24,82,71
2308,33,64,38
2309,17,106,49
2310,192,194,77
2311,23,86,62
2312,26,139,68
2313,23,129,57
2314,18,97,49
2315,25,122,59
2316,26,94,68
2317,21,122,54
2318,29,94,63
2319,43,82,99
2320,32,97,55
2321,40,129,80
2322,25,77,56
2323,23,129,57
2324,25,117,71
2325,20,109,55
2326,18,94,47
2327,23,87,54
2328,21,122,54
2329,21,107,55
2330,20,116,55
2331,33,66,74
2332,21,100,46
2333,17,106,49
2334,32,97,55
2335,23,129,57
2336,31,65,45
2337,29,71,59
2338,48,69,78
2339,23,99,66
2340,25,77,56
2341,23,111,54
2342,20,105,54
2343,21,122,54
2344,22,103,58
2345,28,58,63
2346,28,99,51
2347,19,93,36
2348,126,141,62
2349,26,81,68
2350,22,120,63
2351,17,94,44
2352,21,93,56
2353,22,97,58
2354,47,92,107
2355,26,81,68
2356,18,122,46
2357,22,103,58
2358,22,97,58
2359,47,92,107
2360,26,81,68
2361,17,94,44
2362,31,65,45
2363,18,122,46
2364,22,97,58
2365,30,66,81
2366,43,87,105
2367,19,97,53
2368,112,125,53
2369,26,81,68
2370,23,111,54
2371,20,109,55
2372,20,109,55
2373,22,120,63
2374,112,125,53
2375,19,97,53
2376,18,122,46
2377,22,97,58
2378,47,92,107
2379,30,66,81
2380,19,93,36
2381,23,87,54
2382,46,79,104
2383,19,97,53
2384,30,29,26
2385,32,97,55
2386,21,93,56
2387,23,87,69
2388,19,93,36
2389,23,99,66
2390,21,93,56
2391,23,87,54
2392,28,58,63
2393,20,116,55
2394,20,116,55
2395,18,122,46
2396,20,109,55
2397,23,87,69
2398,19,93,36
2399,22,97,58
2400,28,99,51
2401,20,116,55
2402,22,97,58
2403,22,76,50
2404,23,99,66
2405,23,111,54
2406,20,105,54
2407,22,120,63
2408,39,74,68
2409,43,87,105
2410,22,89,66
2411,23,99,66
2412,20,105,54
2413,23,87,69
2414,23,87,69
2415,23,99,66
2416,28,99,51
2417,19,97,53
2418,23,87,54
2419,22,97,58
2420,18,122,46
2421,19,93,36
2422,23,87,69
2423,23,99,66
2424,28,99,51
2425,22,97,58
2426,29,94,63
2427,32,97,55
2428,21,100,46
2429,31,65,45
2430,22,97,58
2431,17,94,44
2432,24,104,60
2433,20,105,54
2434,19,97,53
2435,18,122,46
2436,23,87,54
2437,22,89,66
2438,20,105,54
2439,22,120,63
2440,24,104,60
2441,32,97,55
2442,28,99,51
2443,17,94,44
2444,19,97,53
2445,23,87,69
2446,23,111,54
2447,23,87,69
2448,32,97,55
2449,112,125,53
2450,23,111,54
2451,22,97,58
2452,30,66,81
2453,23,87,69
2454,22,89,66
2455,19,97,53
2456,19,93,36
2457,21,100,46
2458,23,111,54
2459,53,80,89
2460,20,116,55
2461,18,122,46
2462,21,93,56
2463,23,87,54
2464,26,81,68
2465,22,89,66
2466,19,93,36
2467,22,120,63
2468,19,97,53
2469,46,55,60
2470,30,66,81
2471,47,92,107
2472,22,89,66
2473,23,99,66
2474,23,111,54
2475,29,94,63
2476,112,125,53
2477,28,99,51
2478,17,94,44
2479,43,87,105
2480,19,93,36
2481,20,105,54
2482,23,87,54
2483,29,94,63
2484,51,80,104
2485,51,80,104
2486,46,77,98
2487,21,100,46
2488,21,93,56
2489,19,104,49
2490,39,74,68
2491,22,120,63
2492,47,92,107
2493,24,104,60
2494,22,97,58
2495,23,99,66
2496,32,97,55
2497,19,93,36
2498,23,111,54
2499,28,99,51
2500,19,97,53
2501,18,122,46
2502,60,78,99
2503,69,94,102
2504,26,81,68
2505,23,87,54
2506,23,99,66
2507,21,100,46
2508,28,99,51
2509,17,94,44
2510,15,68,34
2511,22,89,66
2512,23,99,66
2513,23,111,54
2514,20,105,54
2515,15,68,34
2516,20,105,54
2517,26,81,68
2518,21,100,46
2519,25,77,56
2520,43,87,105
2521,26,81,68
2522,32,97,55
2523,20,116,55
2524,43,87,105
2525,25,77,56
2526,20,109,55
2527,22,89,66
2528,20,105,54
2529,31,65,45
2530,28,99,51
2531,30,29,26
2532,20,105,54
2533,17,94,44
2534,23,111,54
2535,18,122,46
2536,31,65,45
2537,28,58,63
2538,23,87,69
2539,28,58,68
2540,17,94,44
2541,21,100,46
2542,22,89,66
2543,23,99,66
2544,28,99,51
2545,20,109,55
2546,15,68,34
2547,23,87,69
2548,28,99,51
2549,22,122,54
2550,19,97,53
2551,19,93,36
2552,23,111,54
2553,22,120,63
2554,21,100,46
2555,19,97,53
2556,31,65,45
2557,43,87,105
2558,26,81,68
2559,17,94,44
2560,18,122,46
2561,20,109,55
2562,31,65,45
2563,22,120,63
2564,55,83,103
2565,22,97,58
2566,26,81,68
2567,23,111,54
2568,47,92,107
2569,23,111,54
2570,15,68,34
2571,22,89,66
2572,19,97,53
2573,15,68,34
2574,22,89,66
2575,22,97,58
2576,23,111,54
2577,29,94,63
2578,26,81,68
2579,26,81,68
2580,28,99,51
2581,46,79,104
2582,38,59,33
2583,20,109,55
2584,23,111,54
2585,18,122,46
2586,15,68,34
2587,60,78,99
2588,26,81,68
2589,22,120,63
2590,26,81,68
2591,21,93,56
2592,19,97,53
2593,21,93,56
2594,22,89,66
2595,20,105,54
2596,23,111,54
2597,20,105,54
2598,18,122,46
2599,27,26,26
2600,15,68,34
2601,53,62,55
2602,55,83,103
2603,26,81,68
2604,21,100,46
2605,23,111,54
2606,55,83,103
2607,22,120,63
2608,26,107,64
2609,46,79,104
2610,17,94,44
2611,18,97,45
2612,23,111,54
2613,20,105,54
2614,17,94,44
2615,19,104,49
2616,46,114,94
2617,15,116,44
2618,38,59,33
2619,20,116,55
2620,24,98,65
2621,20,112,54
2622,29,94,63
2623,51,111,96
2624,43,87,105
2625,26,75,61
2626,27,26,26
2627,18,92,50
2628,38,59,33
2629,15,116,44
2630,20,112,54
2631,23,105,59
2632,18,104,48
2633,56,81,101
2634,45,88,100
2635,20,116,49
2636,151,166,67
2637,51,111,96
2638,17,101,54
2639,22,122,54
2640,24,98,65
2641,21,117,49
2642,154,161,108
2643,18,92,50
2644,24,98,65
2645,38,59,33
2646,22,122,54
2647,19,67,51
2648,20,116,49
2649,28,58,68
2650,26,75,61
2651,26,75,61
2652,22,105,61
2653,60,91,109
2654,17,101,54
2655,38,59,33
2656,149,153,74
2657,18,94,63
2658,18,94,63
2659,23,105,62
2660,18,97,45
2661,26,75,61
2662,38,59,33
2663,20,112,54
2664,19,67,51
2665,18,94,63
2666,18,92,50
2667,25,57,50
2668,26,107,64
2669,18,92,50
2670,21,117,49
2671,21,117,49
2672,18,104,48
2673,149,153,74
2674,26,86,66
2675,20,93,38
2676,23,105,59
2677,46,114,94
2678,20,93,38
2679,18,125,52
2680,154,161,108
2681,17,101,54
2682,22,122,54
2683,23,105,62
2684,20,112,54
2685,38,61,33
2686,24,98,65
2687,22,122,54
2688,28,63,57
2689,38,59,33
2690,20,93,38
2691,19,67,51
2692,18,92,50
2693,20,116,49
2694,19,67,51
2695,18,104,48
2696,45,88,100
2697,17,101,54
2698,22,108,63
2699,20,93,38
2700,22,122,54
2701,21,117,49
2702,18,97,45
2703,38,61,33
2704,15,116,44
2705,23,105,59
2706,71,94,116
2707,56,81,101
2708,45,88,100
2709,22,122,54
2710,18,104,48
2711,22,108,63
2712,60,91,109
2713,26,75,61
2714,22,108,63
2715,18,125,52
2716,39,68,68
2717,24,98,65
2718,23,105,62
2719,154,161,108
2720,18,97,45
2721,51,111,96
2722,21,117,49
2723,18,125,52
2724,28,63,57
2725,21,117,49
2726,19,67,51
2727,18,97,45
2728,51,111,96
2729,17,101,54
2730,24,98,65
2731,19,67,51
2732,27,26,26
2733,20,116,49
2734,22,122,54
2735,17,101,54
2736,18,94,63
2737,23,105,62
2738,18,94,63
2739,18,125,52
2740,26,75,61
2741,26,75,61
2742,18,94,63
2743,32,56,44
2744,15,116,44
2745,20,112,54
2746,201,199,84
2747,46,114,94
2748,22,122,54
2749,28,58,68
2750,38,59,33
2751,18,94,63
2752,38,59,33
2753,22,122,54
2754,20,112,54
2755,18,97,45
2756,46,114,94
2757,17,101,54
2758,18,97,45
2759,18,125,52
2760,53,90,107
2761,15,104,40
2762,22,108,63
2763,20,93,38
2764,22,122,54
2765,33,71,78
2766,20,93,38
2767,22,122,54
2768,71,94,116
2769,26,75,61
2770,23,105,62
2771,18,104,48
2772,23,105,62
2773,26,75,61
2774,22,108,63
2775,21,117,49
2776,22,105,61
2777,32,56,44
2778,17,101,54
2779,18,92,50
2780,18,125,52
2781,33,71,78
2782,19,67,51
2783,23,105,59
2784,18,94,63
2785,15,116,44
2786,20,93,38
2787,28,58,68
2788,151,166,67
2789,22,122,54
2790,23,105,62
2791,22,105,61
2792,22,108,63
2793,22,108,63
2794,38,59,33
2795,26,107,64
2796,151,166,67
2797,46,114,94
2798,45,88,100
2799,45,88,100
2800,26,75,61
2801,21,117,49
2802,23,105,59
2803,27,26,26
2804,17,101,54
2805,23,105,59
2806,46,114,94
2807,26,75,61
2808,21,117,49
2809,18,104,48
2810,26,75,61
2811,17,101,54
2812,24,98,65
2813,151,166,67
2814,20,112,54
2815,28,63,57
2816,56,81,101
2817,18,94,63
2818,33,71,78
2819,23,105,62
2820,51,111,96
2821,19,67,51
2822,22,105,61
2823,20,93,38
2824,22,122,54
2825,71,94,116
2826,201,199,84
2827,17,101,54
2828,18,94,63
2829,24,98,65
2830,23,105,62
2831,45,88,100
2832,17,101,54
2833,23,105,59
2834,26,107,64
2835,18,92,50
2836,18,92,50
2837,23,105,59
2838,18,97,45
2839,18,125,52
2840,26,86,66
2841,22,122,54
2842,37,82,78
2843,22,108,63
2844,38,59,33
2845,21,117,49
2846,23,105,59
2847,18,92,50
2848,17,101,54
2849,38,59,33
2850,18,97,45
2851,25,57,50
2852,26,107,64
2853,46,114,94
2854,20,93,38
2855,21,117,49
2856,32,56,44
2857,18,94,63
2858,22,108,63
2859,38,59,33
2860,18,125,52
2861,149,153,74
2862,16,86,48
2863,22,105,61
2864,21,117,49
2865,26,75,61
2866,17,101,54
2867,25,57,50
2868,51,111,96
2869,45,88,100
2870,17,101,54
2871,15,116,44
2872,15,116,44
2873,41,72,90
2874,22,91,54
2875,188,181,114
2876,21,90,56
2877,23,113,63
2878,19,66,42
2879,69,91,111
2880,22,108,63
2881,21,110,55
2882,19,66,42
2883,20,113,54
2884,24,95,63
2885,21,110,55
2886,15,104,40
2887,25,112,53
2888,27,93,54
2889,22,104,56
2890,50,83,101
2891,21,90,56
2892,25,112,53
2893,33,91,75
2894,66,82,87
2895,63,88,125
2896,20,96,56
2897,20,113,54
2898,50,83,101
2899,21,90,56
2900,19,66,42
2901,19,66,42
2902,21,108,54
2903,21,112,57
2904,37,82,78
2905,33,77,75
2906,20,96,56
2907,21,112,57
2908,25,112,53
2909,20,98,47
2910,71,88,117
2911,53,106,107
2912,21,108,54
2913,20,98,47
2914,21,112,57
2915,69,91,111
2916,16,86,48
2917,16,86,48
2918,20,95,44
2919,20,98,47
2920,33,73,82
2921,20,96,56
2922,67,88,118
2923,33,77,75
2924,21,110,55
2925,182,178,97
2926,44,94,92
2927,19,93,55
2928,25,112,53
2929,22,104,56
2930,71,88,117
2931,33,77,75
2932,27,93,54
2933,18,108,45
2934,21,67,46
2935,21,90,56
2936,21,108,54
2937,19,66,42
2938,21,110,55
2939,23,113,63
2940,22,91,54
2941,25,112,53
2942,20,95,44
2943,21,67,46
2944,20,113,54
2945,69,91,111
2946,44,94,92
2947,33,77,75
2948,16,86,48
2949,16,86,48
2950,20,98,47
2951,20,98,47
2952,22,104,56
2953,23,113,63
2954,69,91,111
2955,48,81,96
2956,21,110,55
2957,44,70,83
2958,33,73,82
2959,20,96,56
2960,20,96,56
2961,20,95,44
2962,53,106,107
2963,21,42,40
2964,19,93,55
2965,23,113,63
2966,15,104,40
2967,33,77,75
2968,21,108,54
2969,20,113,54
2970,20,96,56
2971,21,90,56
2972,22,104,56
2973,21,86,62
2974,25,112,53
2975,18,108,45
2976,19,93,55
2977,20,96,56
2978,18,108,45
2979,20,96,56
2980,27,93,54
2981,20,98,47
2982,20,113,54
2983,21,110,55
2984,33,91,75
2985,32,69,58
2986,21,90,56
2987,67,88,118
2988,69,91,111
2989,53,106,107
2990,25,112,53
2991,25,112,53
2992,63,78,89
2993,20,95,44
2994,188,181,114
2995,21,86,62
2996,21,86,62
2997,25,112,53
2998,16,86,48
2999,23,113,63
3000,21,67,46
3001,20,96,56
3002,16,86,48
3003,20,113,54
3004,33,91,75
3005,33,77,75
3006,19,93,55
3007,22,91,54
3008,22,104,56
3009,19,93,55
3010,16,86,48
3011,23,113,63
3012,20,95,44
3013,37,82,78
3014,18,108,45
3015,21,42,40
3016,21,112,57
3017,27,93,54
3018,21,108,54
3019,20,96,56
3020,21,112,57
3021,21,86,62
3022,20,98,47
3023,46,81,104
3024,182,178,97
3025,33,73,82
3026,33,91,75
3027,25,112,53
3028,33,73,82
3029,20,96,56
3030,20,95,44
3031,21,110,55
3032,21,67,46
3033,22,104,56
3034,25,112,53
3035,25,112,53
3036,21,110,55
3037,21,42,40
3038,20,96,56
3039,27,93,54
3040,19,66,42
3041,22,104,56
3042,32,69,58
3043,63,78,89
3044,73,101,105
3045,182,178,97
3046,20,96,56
3047,25,112,53
3048,23,113,63
3049,21,112,57
3050,33,91,75
3051,21,90,56
3052,22,104,56
3053,16,86,48
3054,63,88,125
3055,27,93,54
3056,21,108,54
3057,27,104,69
3058,20,113,54
3059,20,113,54
3060,21,110,55
3061,33,91,75
3062,73,101,105
3063,19,93,55
3064,21,90,56
3065,24,95,63
3066,22,104,56
3067,22,91,54
3068,33,91,75
3069,18,108,45
3070,48,81,96
3071,21,86,62
3072,21,90,56
3073,25,112,53
3074,15,104,40
3075,37,82,78
3076,20,96,56
3077,18,108,45
3078,15,104,40
3079,21,86,62
3080,19,93,55
3081,22,91,54
3082,21,108,54
3083,73,101,105
3084,33,77,75
3085,63,78,89
3086,44,94,92
3087,27,93,54
3088,18,108,45
3089,33,73,82
3090,21,108,54
3091,20,113,54
3092,22,104,56
3093,20,113,54
3094,21,90,56
3095,27,93,54
3096,33,91,75
3097,53,106,107
3098,27,93,54
3099,25,112,53
3100,23,113,63
3101,20,98,47
3102,25,112,53
3103,20,98,47
3104,25,112,53
3105,29,29,29
3106,24,95,63
3107,37,82,78
3108,73,101,105
3109,22,91,54
3110,20,98,47
3111,21,112,57
3112,69,91,111
3113,33,91,75
3114,69,91,111
3115,23,113,63
3116,53,106,107
3117,25,112,53
3118,19,66,42
3119,21,112,57
3120,15,104,40
3121,33,77,75
3122,27,93,54
3123,19,66,42
3124,21,67,46
3125,18,108,45
3126,24,95,60
3127,188,181,114
3128,19,93,55
3129,18,108,45
3130,23,113,63
3131,27,56,60
3132,27,93,54
3133,25,112,53
3134,18,108,45
3135,20,113,54
3136,21,67,46
3137,44,94,92
3138,33,77,75
3139,27,93,54
3140,33,91,75
3141,21,86,62
3142,21,108,54
3143,21,108,54
3144,44,70,83
3145,21,110,55
3146,21,110,55
3147,21,90,56
3148,27,93,54
3149,21,108,54
3150,21,108,54
3151,16,86,48
3152,20,79,46
3153,21,108,54
3154,15,104,40
3155,48,81,96
3156,21,86,62
3157,25,112,53
3158,18,108,45
3159,18,108,45
3160,33,91,75
3161,41,72,90
3162,48,81,96
3163,22,91,54
3164,20,98,47
3165,46,74,92
3166,18,108,45
3167,18,76,41
3168,48,79,108
3169,14,82,35
3170,20,89,58
3171,20,89,58
3172,18,76,41
3173,20,135,55
3174,22,91,60
3175,42,89,73
3176,22,106,55
3177,18,76,41
3178,23,98,61
3179,25,123,61
3180,45,89,79
3181,42,89,73
3182,21,102,56
3183,42,89,73
3184,30,53,56
3185,45,106,105
3186,22,91,60
3187,22,91,60
3188,26,98,66
3189,22,112,56
3190,22,112,56
3191,20,79,46
3192,20,98,49
3193,21,119,54
3194,21,119,54
3195,23,103,53
3196,51,76,78
3197,62,83,101
3198,30,53,56
3199,42,89,73
3200,25,123,61
3201,30,53,56
3202,30,53,56
3203,45,89,79
3204,20,98,49
3205,14,82,35
3206,42,89,73
3207,53,79,88
3208,20,89,58
3209,22,110,58
3210,20,79,46
3211,31,77,73
3212,20,89,58
3213,46,74,92
