Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01802710,78,1550236201,00,VI,78,A,+18.3267480,0,9,United States Virgin Islands,-064.9712508,G4000,348021896,00000000000000000022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01779809,69,4644252461,00,MP,69,A,+14.9367835,0,9,Commonwealth of the Northern Mariana Islands,+145.6010210,G4000,472292529,00000000000000000023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01802705,66,934337453,00,GU,66,A,+13.4382886,0,9,Guam,+144.7729493,G4000,543555840,00000000000000000024
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01802701,60,1307243754,00,AS,60,A,-14.2671590,0,9,American Samoa,-170.6682674,G4000,197759063,00000000000000000029
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01779808,72,4922382562,00,PR,72,A,+18.2176480,0,9,Puerto Rico,-066.4107992,G4000,8868896030,00000000000000000031
0.01914597435636771,0.009595129994863285,0.0045040535739305715,0.00686097754324813,0.22927257829278233,0.002211616921378937,0.007849032875388533,0.02575491176617203,0.029428492236818406,0.1068255810305166,0.3296047763324338,0.0410418171952073,4.000755698E9,0.0,0.08049531846220719,0.02439200350293421,0.08301773591575098,01219835,44,1323670487,00,RI,44,A,+41.5974187,1,1,Rhode Island,-071.5272723,G4000,2677779902,00000000000000000005
0.030243816164979922,0.008395626911211842,0.002919025029690304,0.003488688832830193,0.2168445466641745,0.02625264093635872,0.004151257937082884,0.18233309217983387,0.026130020461814955,0.357240518254186,0.043460358880842015,0.020145750463620195,2.4215507329E10,0.0,0.011958690068541243,0.002843316105855186,0.06359265110897813,01779794,33,1026675248,00,NH,33,A,+43.6726907,1,1,New Hampshire,-071.5843145,G4000,23189413166,00000000000000000007
0.12528014696824008,0.006087030414835192,0.017735828109573647,0.004704491804407798,0.38712064161496196,0.0075365861075872165,0.0014762466781710057,0.12353072190096519,0.017850375076534548,0.21180207961211686,0.04066324765553128,0.008586120305144801,2.490342674E10,0.0,0.005263083565502921,0.001135845130685015,0.0412275550557425,01779802,50,1030416650,00,VT,50,A,+44.0685773,1,1,Vermont,-072.6691839,G4000,23874175944,00000000000000000009
0.030748336448596033,0.004255697358403384,0.014744176069450686,0.005351137383890046,0.45379868111761673,0.0014646947005436334,0.0023472489631458284,0.009718389616687405,0.07241996589698389,0.09988819629570304,0.12856988579498718,0.05585047354785266,1.4358001017E10,0.0,0.04532102736512851,0.009179792426810914,0.06634229701420002,01779780,09,1815617571,00,CT,09,A,+41.5798637,1,1,Connecticut,-072.7466572,G4000,12542497068,0000000000000000000a
0.024228646880605376,0.019442743795966375,0.011352881067030092,0.008111728487668331,0.1369377910926183,0.039157411059917144,0.0019035322465070304,0.1905416163784794,0.012023867684677366,0.3055755617185266,0.1304349513537081,0.00636225565922829,9.1627828906E10,0.0,0.002509527408271297,9.729983135523362E-4,0.11044448685324391,01779787,23,11746549764,00,ME,23,A,+45.4092843,1,1,Maine,-068.6666160,G4000,79887426037,00000000000000000025
0.02670305609953455,0.00818318546840904,0.009946331604172135,0.011093319402332057,0.1744594667637193,0.004279669201154038,0.007485413565796274,0.06641059764784453,0.044308557946391464,0.17348039573215343,0.26109720298932687,0.053471107804764634,2.7331755447E10,0.0,0.057864670824632085,0.013928119865487249,0.08728890508428234,00606926,25,7129925486,00,MA,25,A,+42.1565196,1,1,Massachusetts,-071.4895915,G4000,20205125364,00000000000000000033
0.038561768888743166,0.0037543460923687992,0.0889599950468416,0.04049386471603543,0.1919225217234784,0.0029717000968322374,0.0052506361818522775,0.03388524028308934,0.10720076849984479,0.03980866707146656,0.1537694925223989,0.07483186129586462,2.2591290444E10,0.0,0.045279887376760246,0.018008684099232238,0.15530056610519136,01779795,34,3544860246,00,NJ,34,A,+40.1072744,2,1,New Jersey,-074.6652012,G4000,19047825980,0000000000000000000e
0.13449896025813834,0.004888048211126431,0.09680591437883905,0.0011662705347837057,0.494439034004261,0.006492436011922078,0.0036615528229916546,0.012244948868214079,0.0462906482052407,0.11512188351370754,0.02787817072326561,0.02573612733131928,1.19277102397E11,0.0,0.012415529856443315,0.005080354668435013,0.013280120611312238,01779798,42,3394589990,00,PA,42,A,+40.9024957,2,1,Pennsylvania,-077.8334514,G4000,115884442321,00000000000000000012
0.1264703749026796,0.004004742133041963,0.07827116046660439,0.004378265743021559,0.35627273975876755,0.0042794791010364866,0.002080915875752357,0.06827621002725981,0.03273344128328843,0.08499846158584462,0.1367775284933437,0.01732542035561046,1.41283352886E11,0.0,0.011890489443264528,0.005498602511414354,0.06674216831907016,01779796,36,19246994695,00,NY,36,A,+42.9133974,2,1,New York,-075.5962723,G4000,122049149763,00000000000000000026
